,Unnamed: 0,äœë™èä,1,2,3,4,5,6,7,8,9,10,11,12,à‹ìx,åoìx,cluster
0,0,óÁï∂,-4.3,-3.0,-0.1,4.7,9.2,11.5,17.8,18.9,16.7,9.8,2.2,-3.6,45.305,141.045,3
1,1,ítì‡,-4.3,-3.0,-0.4,5.3,9.8,12.0,18.4,18.6,16.9,9.9,2.5,-3.0,45.415,141.6783,3
2,2,è@íJñ¶,-4.6,-3.3,-0.7,4.7,9.2,11.1,17.7,17.7,16.1,9.5,2.3,-2.8,45.52,141.935,3
3,3,è¿êÏ,-7.5,-5.1,-2.1,4.4,9.8,11.7,18.4,17.6,14.2,7.3,1.0,-5.1,45.2483,141.8517,7
4,4,ïlãSéuï ,-6.2,-4.7,-1.8,4.2,9.5,10.9,17.9,17.2,14.6,7.9,1.1,-4.6,45.335,142.17,3
5,5,ñLïx,-6.6,-4.7,-1.8,4.7,10.2,12.1,18.6,18.2,15.0,8.0,1.5,-4.5,45.1067,141.765,3
6,6,ïlì⁄ï ,-6.5,-5.0,-1.9,4.8,10.6,11.7,19.0,17.6,15.1,8.3,1.4,-4.8,45.125,142.35,3
7,7,íÜì⁄ï ,-8.7,-6.4,-2.8,4.6,11.5,12.8,19.9,17.9,13.9,7.0,1.2,-5.8,44.965,142.28,7
8,8,ñkå©é}çK,-5.7,-4.3,-1.2,5.1,10.9,11.5,19.3,17.9,15.8,8.9,2.1,-4.0,44.94,142.585,3
9,9,âÃìo,-9.0,-6.6,-2.5,4.3,11.3,12.5,19.8,17.7,13.9,7.1,1.3,-5.9,44.84,142.48,7
10,10,ìVâñ,-5.0,-3.7,-1.3,5.2,10.9,12.5,19.3,19.1,15.7,8.7,2.8,-2.3,44.8933,141.7617,3
11,11,âìï ,-6.0,-4.0,-1.2,5.5,11.8,13.2,20.0,19.5,15.5,8.9,3.0,-3.1,44.7183,141.8067,3
12,12,èâéRï ,-5.2,-3.2,-0.6,5.9,11.8,13.2,19.9,19.5,15.5,9.4,3.3,-2.5,44.5233,141.77,3
13,13,èƒêK,-3.4,-2.1,0.9,5.9,11.2,13.1,19.4,20.6,17.6,11.1,3.8,-2.0,44.4283,141.4217,0
14,14,âHñy,-5.3,-3.0,0.0,6.3,12.3,13.9,20.5,20.4,16.4,10.0,3.6,-2.3,44.3633,141.7,0
15,15,íBïz,-7.6,-5.2,-1.4,5.1,12.1,14.1,20.9,19.9,14.6,8.1,2.3,-4.0,44.0483,141.8567,7
16,16,óØñG,-5.3,-3.0,0.3,6.1,12.0,14.0,20.5,20.3,16.1,10.1,3.6,-2.2,43.945,141.6317,0
17,17,ëùñ—,-4.0,-2.2,0.6,7.0,12.4,14.0,20.6,20.3,16.4,10.6,4.2,-1.7,43.8483,141.51,0
18,18,ñyçf,-8.5,-5.4,-1.6,4.9,12.0,14.1,20.5,19.5,14.3,8.0,1.9,-4.3,43.8533,141.76,7
19,19,âπà–éqï{,-8.3,-6.0,-2.1,4.6,11.6,13.2,20.3,18.2,14.3,7.4,1.4,-5.2,44.7267,142.265,7
20,20,î¸ê[,-9.3,-6.5,-2.6,4.5,11.8,13.8,20.7,18.7,14.1,7.2,1.1,-5.8,44.48,142.3417,7
21,21,ñºäÒ,-8.9,-6.3,-2.7,4.7,12.0,13.9,20.7,18.6,14.0,7.1,1.2,-5.6,44.37,142.4567,7
22,22,éÈãfì‡,-10.3,-7.4,-3.9,2.7,10.1,12.3,19.2,17.6,12.5,5.8,-0.1,-6.4,44.2817,142.1617,7
23,23,émï ,-8.8,-6.2,-2.6,5.4,12.5,14.3,21.4,19.2,14.8,7.7,1.5,-5.5,44.1867,142.4167,7
24,24,í©ì˙,-8.5,-6.2,-2.7,4.8,12.4,14.2,21.4,19.1,14.2,7.3,1.2,-5.6,44.1183,142.595,7
25,25,òaä¶,-9.0,-6.0,-2.7,5.4,12.8,14.5,21.7,19.4,14.8,7.9,1.5,-5.3,44.0283,142.41,7
26,26,î‰ïz,-8.8,-6.1,-2.3,5.4,13.2,15.2,22.1,19.8,14.7,7.9,1.3,-5.4,43.875,142.48,7
27,27,éuî‰ì‡,-8.8,-6.5,-3.0,4.6,12.7,14.3,21.5,19.1,14.2,7.1,1.0,-5.8,43.6433,142.5817,7
28,28,ìåêÏ,-8.6,-5.9,-2.2,5.8,13.7,15.3,22.6,20.0,15.1,8.0,1.9,-5.1,43.7017,142.5083,7
29,29,àÆêÏ,-7.9,-5.1,-1.2,6.1,13.8,15.3,22.6,20.3,15.4,8.3,2.1,-4.7,43.7567,142.3717,7
30,30,è„ïxó«ñÏ,-8.8,-6.0,-2.2,5.9,13.7,15.5,22.8,20.4,15.3,8.1,1.6,-5.4,43.455,142.465,7
31,31,ïxó«ñÏ,-9.6,-6.3,-2.0,5.8,13.5,15.3,22.3,20.0,15.0,8.1,1.6,-5.6,43.3333,142.4,7
32,32,äÙì–,-9.8,-6.4,-2.8,4.4,12.0,14.0,21.3,18.2,13.9,6.9,1.0,-5.4,43.1683,142.5683,7
33,33,óYïê,-6.1,-4.7,-1.7,4.9,11.3,11.6,19.2,18.1,15.2,8.5,2.3,-4.1,44.58,142.9633,3
34,34,ãªïî,-6.5,-5.0,-2.0,4.9,11.3,11.9,19.3,17.9,14.7,8.0,2.1,-4.5,44.47,143.1083,3
35,35,êºãªïî,-8.2,-5.9,-2.4,4.7,11.7,12.8,20.1,17.5,13.8,7.1,1.4,-5.2,44.3317,142.9367,7
36,36,ëÍè„,-8.7,-6.3,-3.0,4.7,12.1,12.9,20.4,17.5,13.4,6.9,1.0,-5.9,44.1767,143.06,7
37,37,ñ‰ï ,-5.3,-4.0,-1.3,5.6,11.3,12.1,19.4,18.3,16.0,9.2,2.6,-3.3,44.345,143.355,3
38,38,âìåy,-8.1,-6.3,-2.1,5.3,12.2,13.3,20.7,18.3,14.6,7.6,1.1,-6.3,44.0533,143.54,7
39,39,îíëÍ,-8.8,-6.8,-3.7,3.6,12.1,14.1,21.5,17.0,12.9,6.4,-0.1,-6.0,43.865,143.1533,7
40,40,óØï”ÂA,-9.4,-7.2,-3.2,4.3,11.6,13.3,20.4,17.6,13.5,6.7,-0.3,-7.5,43.7417,143.45,7
41,41,ã´ñÏ,-9.3,-7.1,-2.7,5.0,12.1,13.6,20.9,18.3,14.4,7.3,0.5,-7.3,43.7067,143.6433,7
42,42,ñkå©,-9.2,-6.8,-2.3,5.3,12.3,14.0,21.2,18.7,14.9,7.7,1.1,-7.6,43.81,143.875,7
43,43,ç≤òCä‘,-8.0,-6.4,-2.5,4.9,11.6,12.9,20.2,18.2,14.7,8.0,1.0,-6.2,43.985,143.7233,7
44,44,èÌòC,-6.7,-5.5,-2.4,5.0,11.3,12.7,20.0,18.4,15.7,8.9,2.4,-4.9,44.115,144.0367,7
45,45,ñ‘ëñ,-5.2,-4.3,-1.5,5.3,11.1,12.4,19.8,18.4,16.3,9.5,3.3,-3.1,44.0167,144.2783,3
46,46,î¸ñy,-8.6,-6.2,-2.7,5.0,11.6,13.4,20.5,18.4,15.0,7.7,1.7,-6.3,43.77,144.1717,7
47,47,í√ï ,-8.8,-6.0,-2.2,5.4,12.1,13.8,21.0,18.5,15.0,7.7,1.8,-6.2,43.7017,144.0333,7
48,48,è¨ê¥êÖ,-6.7,-5.2,-2.4,5.1,11.4,13.1,20.3,18.4,15.5,8.6,2.6,-4.3,43.8417,144.485,7
49,49,éŒó¢,-7.4,-5.6,-3.0,4.4,10.7,12.5,19.8,17.9,15.2,8.5,2.6,-4.6,43.8833,144.7,7
50,50,âFìoòC,-5.8,-4.8,-2.6,4.7,11.4,12.8,19.8,17.4,15.2,9.0,3.5,-2.8,44.0517,144.9817,3
51,51,êŒéÎè¿ìc,-8.4,-5.8,-2.0,5.1,12.4,14.3,20.8,19.6,14.5,7.9,1.5,-5.1,43.815,141.9267,7
52,52,ê[êÏ,-8.5,-5.7,-1.8,5.7,12.9,14.7,21.4,19.8,14.9,8.3,1.9,-5.0,43.7183,142.0733,7
53,53,ãÛímãgñÏ,-8.1,-5.4,-1.7,5.0,12.6,14.6,21.4,19.3,14.4,8.0,1.5,-5.1,43.595,141.7317,7
54,54,ëÍêÏ,-7.7,-5.2,-1.4,6.0,12.9,14.9,21.5,19.9,15.4,8.6,2.1,-4.6,43.57,141.9383,7
55,55,à∞ï ,-7.5,-4.9,-1.1,5.9,13.3,15.1,22.2,20.3,15.2,8.2,2.0,-4.7,43.5167,142.19,7
56,56,î¸âS,-7.5,-5.5,-1.4,6.4,13.0,15.2,22.2,20.2,15.8,9.0,2.4,-4.8,43.3633,141.8267,7
57,57,åéå`,-6.5,-4.5,-0.9,5.8,12.4,14.8,21.5,19.8,15.7,8.9,2.5,-4.0,43.33,141.6183,7
